trimestre,nomeBandeira,nomeFuncao,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos
20234,VISA,Débito,Puro,2028695,1190771
20251,American Express,Crédito,Puro,302476,228566
20242,Elo,Crédito,Puro,3137258,1933287
20242,Elo,Crédito,Puro,28306,11255
20242,MasterCard,Crédito,Puro,78318128,18256730
20244,MasterCard,Crédito,Híbrido,44598,31797
20251,MasterCard,Crédito,Puro,2769865,851127
20234,VISA,Crédito,Puro,30924160,12170392
20244,MasterCard,Débito,Co-branded,125335,13711
20243,MasterCard,Crédito,Co-branded,5550842,1449346
20234,Elo,Pré-Pago,Co-branded,4721,381
20243,MasterCard,Pré-Pago,Puro,605127,233934
20241,VISA,Crédito,Puro,2916230,1721092
20241,MasterCard,Débito,Puro,526519,321865
20242,MasterCard,Pré-Pago,Puro,3894245,888244
20242,MasterCard,Pré-Pago,Puro,503101,196710
20242,MasterCard,Crédito,Puro,90425923,45804351
20251,Elo,Pré-Pago,Puro,505463,494036
20242,Bandeira própria,Crédito,Puro,145807,30023
20243,Bandeira própria,Crédito,Híbrido,662890,291147
20243,MasterCard,Crédito,Puro,7830628,3369019
20242,VISA,Pré-Pago,Puro,1806222,172732
20234,MasterCard,Crédito,Co-branded,411767,304893
20244,MasterCard,Crédito,Híbrido,44416,21702
20243,VISA,Crédito,Co-branded,381012,343686
20234,VISA,Crédito,Co-branded,7533262,5329415
20244,MasterCard,Débito,Co-branded,298239,29249
20251,MasterCard,Pré-Pago,Puro,696047,252832
20244,Elo,Crédito,Puro,25910,13879
20242,VISA,Crédito,Híbrido,9056047,3575179
20251,MasterCard,Crédito,Co-branded,11875908,173415
20251,MasterCard,Pré-Pago,Puro,10695024,4582453
20242,Elo,Pré-Pago,Puro,341064,329588
20242,Outras,Débito,Puro,707,281
20244,VISA,Pré-Pago,Puro,121,3
20242,VISA,Crédito,Híbrido,1310589,732524
20251,VISA,Pré-Pago,Puro,21221,1913
20241,Bandeira própria,Crédito,Puro,141059,31522
20242,VISA,Pré-Pago,Puro,26522361,7666478
20241,VISA,Débito,Co-branded,498891,31821
20244,MasterCard,Débito,Co-branded,30,1
20244,Elo,Débito,Puro,176601222,27553076
20241,MasterCard,Débito,Co-branded,761173,97610
20243,MasterCard,Crédito,Híbrido,4765811,4194224
20251,MasterCard,Crédito,Co-branded,17,5
20242,MasterCard,Débito,Puro,2024059,450298
20243,Bandeira própria,Crédito,Co-branded,9538504,1576844
20251,Outras,Débito,Puro,103,94
20251,MasterCard,Crédito,Puro,9123292,3733708
20244,American Express,Crédito,Co-branded,36591,29642
20234,MasterCard,Crédito,Híbrido,367270,260476
20251,VISA,Crédito,Puro,35766395,14076338
20242,MasterCard,Débito,Co-branded,30,5
20251,MasterCard,Crédito,Puro,86361502,18502481
20241,MasterCard,Débito,Puro,862102,461500
20244,Elo,Crédito,Co-branded,841005,122503
20234,Elo,Pré-Pago,Co-branded,1275325,1017444
20244,VISA,Débito,Puro,14212736,7295607
20243,MasterCard,Crédito,Híbrido,526584,358497
20243,MasterCard,Débito,Co-branded,108459,17953
20242,VISA,Crédito,Puro,9534700,7168478
20241,American Express,Crédito,Puro,28114,18592
20241,VISA,Crédito,Híbrido,37698,10000
20234,MasterCard,Crédito,Puro,6533470,2980056
20242,Bandeira própria,Pré-Pago,Puro,1095365,1069178
20244,MasterCard,Crédito,Co-branded,5509384,1384533
20242,Elo,Pré-Pago,Puro,17903154,145491
20242,MasterCard,Crédito,Puro,6574505,1816694
20244,Elo,Pré-Pago,Puro,19181313,139024
20244,VISA,Crédito,Híbrido,1356191,743305
20234,MasterCard,Crédito,Puro,18832918,13395632
20244,American Express,Crédito,Puro,181,104
20242,Elo,Crédito,Puro,3843060,2250936
20244,American Express,Pré-Pago,Puro,4,2
20242,Elo,Pré-Pago,Puro,6770,0
20234,Elo,Pré-Pago,Puro,41742877,5198815
20243,MasterCard,Crédito,Híbrido,42940,21665
20241,VISA,Crédito,Híbrido,541138,320405
20241,VISA,Pré-Pago,Puro,16105337,4010687
20243,Elo,Pré-Pago,Puro,2215653,781
20243,Outras,Débito,Puro,707,431
20241,Elo,Pré-Pago,Puro,16942490,157531
20241,MasterCard,Crédito,Puro,75276509,18828449
20241,MasterCard,Crédito,Puro,20232746,14250415
20243,MasterCard,Crédito,Híbrido,29688,19238
20244,VISA,Crédito,Co-branded,19972671,17801383
20244,MasterCard,Crédito,Puro,22415560,15338196
20243,VISA,Pré-Pago,Puro,1495852,172352
20241,VISA,Crédito,Híbrido,1307424,741504
20243,Elo,Pré-Pago,Puro,391934,380107
20243,VISA,Débito,Puro,13801946,7536410
20251,VISA,Débito,Puro,3103077,1088826
20234,VISA,Crédito,Puro,2938164,1734645
20251,MasterCard,Débito,Co-branded,32835202,7874149
20243,MasterCard,Débito,Co-branded,28372434,7600198
20244,Outras,Débito,Puro,110,110
20242,MasterCard,Crédito,Puro,7130821,5169399
20244,Bandeira própria,Crédito,Puro,7059222,2632890
20251,MasterCard,Débito,Puro,1050595,372791
